Month,Date_of_1st_session,Population,Sex,ID,Location,no_RF,Immigrant,Pre_census,Note
June,13,G,,88,G,,,,
June,13,G,M,,G,,,,
June,13,G,M,,G,,,,
June,14,G,,7,G,,,,
June,14,G,,8,N,,,,
June,14,G,,14,G,,,,
June,14,G,,20,G,,,,
June,14,G,,22,G,,,,
June,14,G,,23,G,,,,
June,14,G,,25,N,,,,
June,14,G,,32,G,,,,
June,14,G,,65,G,,,,
June,14,G,,66,G,,,,
June,14,G,,68,G,,,,
June,14,G,,75,G,,,,
June,14,G,,77,G,,,,
June,14,G,,80,G,,,,
June,14,G,,85,G,,,,
June,14,G,,86,G,,,,
June,14,G,,87,G,,,,
June,14,G,M,,G,,,,
June,14,G,M,,G,,,,
June,14,G,M,,G,,,,
June,15,G,F,,,,1,1,
June,15,G,,7,G,,,,
June,15,G,,14,G,,,,
June,15,G,,20,G,,,,
June,15,G,,22,O,,,,
June,15,G,,32,G,,,,
June,15,G,,65,N,,,,
June,15,G,,66,G,,,,
June,15,G,,68,N,,,,
June,15,G,,75,N,,,,
June,15,G,,77,O,,,,
June,15,G,,80,G,,,,
June,15,G,,85,O,,,,
June,15,G,,86,N,,,,
June,15,G,,87,N,,,,
June,15,G,M,,N,,,,
June,15,G,M,,N,,,,
June,16,G,,7,G,,,,
June,16,G,,14,G,,,,
June,16,G,,29,G,1,,,
June,16,G,,32,G,,,,
June,16,G,,65,G,,,,
June,16,G,,66,G,,,,
June,16,G,,68,G,,,,
June,16,G,,75,G,,,,
June,16,G,,77,G,,,,
June,16,G,,80,G,,,,
June,16,G,,86,G,,,,
June,16,G,M,,G,,,,
June,16,G,M,,G,,,,
June,16,G,M,,G,,,,
June,17,G,,7,G,,,,
June,17,G,,14,G,,,,
June,17,G,,32,G,,,,
June,17,G,,65,G,,,,
June,17,G,,66,G,,,,
June,17,G,,68,G,,,,
June,17,G,,75,G,,,,
June,17,G,,80,G,,,,
June,17,G,,88,G,,,,
June,17,G,M,,G,,,,
June,17,G,M,,G,,,,
June,18,G,M,,N,,,1,
June,18,G,M,,G,,,1,
June,18,G,M,,G,,1,1,
June,18,G,,7,G,,,,
June,18,G,,14,G,,,,
June,18,G,,29,G,,,,
June,18,G,,32,N,,,,
June,18,G,,78,G,,,,
June,18,G,,80,G,,,,
June,18,G,F,,N,,,,
June,18,G,F,,N,,,,
June,18,G,M,,G,,,,
June,18,G,F,,G,,,,
June,9,H,F,,H,,1,1,
June,9,H,F,,H,,1,1,
June,9,H,F,,H,,1,1,
June,9,H,F,,H,,1,1,
June,9,H,M,,H,,1,1,
June,9,G,,1,G,,,,
June,9,G,,2,G,,,,
June,9,G,,3,G,,,,
June,9,G,,4,G,,,,
June,9,G,,7,G,,,,
June,9,G,,8,G,,,,
June,9,G,,10,G,,,,
June,9,G,,11,G,,,,
June,9,G,,12,G,,,,
June,9,G,,14,G,,,,
June,9,G,,15,G,,,,
June,9,G,,19,G,,,,
June,9,G,,20,G,,,,
June,9,G,,21,G,,,,
June,9,G,,24,G,,,,
June,9,G,,25,G,,,,
June,9,G,,27,G,,,,
June,9,G,,28,G,,,,
June,9,G,,31,G,,,,
June,9,G,,32,G,,,,
June,9,G,,33,G,,,,
June,9,G,,63,G,,,,
June,9,G,,64,G,,,,
June,9,G,,65,G,,,,
June,9,G,,66,G,,,,
June,9,G,,67,G,,,,
June,9,G,,69,G,,,,
June,9,G,,70,G,,,,
June,9,G,,71,G,,,,
June,9,G,,72,G,,,,
June,9,G,,73,G,,,,
June,9,G,,75,G,,,,
June,9,G,,76,N,,,,
June,9,G,,77,G,,,,
June,9,G,,78,G,,,,
June,9,G,,80,G,,,,
June,9,G,,81,G,,,,
June,9,G,,82,G,,,,
June,9,G,,83,G,,,,
June,9,G,,84,G,,,,
June,9,G,,85,G,,,,
June,9,G,,86,G,,,,
June,9,G,,87,G,,,,
June,9,G,,88,G,,,,
June,9,G,,89,G,,,,
June,9,G,,90,G,,,,
June,9,G,,91,G,,,,
June,9,G,U,,G,,,,
June,10,H,,,,,,,
June,10,H,,2,H,,,,
June,10,H,,4,H,,,,
June,10,H,,6,H,,,,
June,10,H,,7,H,,,,
June,10,H,,9,H,,,,
June,10,H,,11,O,,,,
June,10,H,,12,H,,,,
June,10,H,,13,H,,,,
June,10,H,,14,H,,,,
June,10,H,,18,N,,,,
June,10,H,,21,H,,,,
June,10,H,,22,H,,,,
June,10,H,,23,H,,,,
June,10,H,,24,H,,,,
June,10,H,,27,H,,,,
June,10,H,,28,H,,,,
June,10,H,,30,O,,,,
June,10,H,,31,H,,,,
June,10,H,,34,H,,,,
June,10,H,,37,H,,,,
June,10,H,,39,H,,,,
June,10,H,,40,O,,,,
June,10,H,,41,N,,,,
June,10,H,,42,N,,,,
June,10,H,,43,H,,,,
June,10,H,,44,H,,,,
June,10,H,,77,H,,,,
June,10,H,,79,H,,,,
June,10,H,,81,H,,,,
June,10,H,,82,N,,,,
June,10,H,,83,N,,,,
June,10,H,,85,H,,,,
June,10,H,,86,H,,,,
June,10,H,,88,H,,,,
June,10,H,,90,H,,,,
June,10,H,M,,H,,1,,
June,10,H,M,,O,,,,
June,10,H,M,,O,,,,
June,10,H,M,,H,,,,
June,10,H,F,,H,,,,
June,10,H,M,,H,,1,,
June,11,H,,1,H,,,,
June,11,H,,2,H,,,,
June,11,H,,4,N,,,,
June,11,H,,6,H,,,,
June,11,H,,12,H,,,,
June,11,H,,21,N,,,,
June,11,H,,25,H,,,,
June,11,H,,27,H,,,,
June,11,H,,28,H,,,,
June,11,H,,30,H,,,,
June,11,H,,31,N,,,,
June,11,H,,34,H,,,,
June,11,H,,35,H,,,,
June,11,H,,40,H,,,,
June,11,H,,44,H,,,,
June,11,H,,79,H,,,,
June,11,H,,82,H,,,,
June,11,H,,83,O,,,,
June,11,H,,85,H,,,,
June,11,H,,86,H,,,,
June,11,H,,88,H,,,,
June,11,H,U,,H,,,,
June,11,H,U,,H,,,,
June,11,H,U,,H,,,,
June,11,H,U,,H,,,,
June,11,H,U,,H,,,,
June,11,H,U,,H,,,,dead
June,12,H,,,,,,,
June,12,H,,2,H,,,,
June,12,H,,4,N,,,,
June,12,H,,6,N,,,,
June,12,H,,7,N,,,,
June,12,H,,12,H,,,,
June,12,H,,15,H,,,,
June,12,H,,23,H,,,,
June,12,H,,28,H,,,,
June,12,H,,31,H,,,,
June,12,H,,34,H,,,,
June,12,H,,35,H,,,,
June,12,H,,40,H,,,,
June,12,H,,42,N,,,,
June,12,H,,44,H,,,,
June,12,H,,80,H,,,,
June,12,H,,81,H,,,,
June,12,H,,82,H,,,,
June,12,H,,83,H,,,,
June,12,H,,86,N,,,,
June,12,H,,88,H,,,,
June,12,H,U,,O,,,,
June,12,H,U,,N,,,,
June,12,H,U,,H,,,,
June,12,H,U,,H,,,,
June,13,H,,2,H,,,,
June,13,H,,4,H,,,,
June,13,H,,6,H,,,,
June,13,H,,12,H,,,,
June,13,H,,15,H,,,,
June,13,H,,23,H,,,,
June,13,H,,25,H,,,,
June,13,H,,27,H,,,,
June,13,H,,28,H,,,,
June,13,H,,31,H,,,,
June,13,H,,34,H,,,,
June,13,H,,35,H,,,,
June,13,H,,40,H,,,,
June,13,H,,80,H,,,,"dead, attacked by spider"
June,13,H,,81,H,,,,
June,13,H,,82,H,,,,
June,13,H,,83,H,,,,
June,13,H,,88,H,,,,
June,13,H,F,,H,,,,
June,13,H,F,,H,,,,
June,13,H,F,,H,,,,
June,13,H,M,,H,,,,
June,13,H,M,,H,,,,
June,13,H,M,,,,1,,
June,14,H,,1,O,,,,
June,14,H,,2,H,,,,
June,14,H,,4,H,,,,
June,14,H,,12,H,,,,
June,14,H,,15,H,,,,
June,14,H,,22,H,,,,
June,14,H,,23,H,,,,
June,14,H,,24,H,,,,
June,14,H,,25,H,,,,
June,14,H,,27,H,,,,
June,14,H,,28,H,,,,
June,14,H,,31,H,,,,
June,14,H,,34,H,,,,
June,14,H,,42,H,,,,
June,14,H,,44,O,,,,
June,14,H,,81,H,,,,
June,14,H,,82,H,,,,
June,14,H,,83,H,,,,
June,14,H,,86,H,,,,
June,14,H,,88,H,,,,
June,14,H,F,,H,,,,
June,14,H,M,,H,,,,
June,14,H,M,,H,,,,
June,14,H,M,,H,,,,
June,14,H,M,,H,,,,
June,14,H,M,,H,,,,
June,15,H,M,,,,1,1,
June,15,H,F,,,,1,1,
June,15,H,,1,N,,,,
June,15,H,,2,N,,,,
June,15,H,,4,N,,,,
June,15,H,,6,N,,,,
June,15,H,,12,H,,,,
June,15,H,,21,N,,,,
June,15,H,,22,N,,,,
June,15,H,,25,H,,,,
June,15,H,,27,N,,,,
June,15,H,,28,H,,,,
June,15,H,,31,N,,,,
June,15,H,,34,N,,,,
June,15,H,,35,N,,,,
June,15,H,,40,H,,,,
June,15,H,,42,N,,,,
June,15,H,,44,N,,,,
June,15,H,,81,N,,,,
June,15,H,,82,H,,,,
June,15,H,,83,N,,,,
June,15,H,,86,N,,,,
June,15,H,,88,N,,,,
June,15,H,M,,H,,,,
June,15,H,F,,H,,,,
June,15,H,M,,H,,,,
June,15,H,M,,H,,,,
June,15,H,M,,H,,,,
June,16,H,,1,H,,,,
June,16,H,,2,H,,,,
June,16,H,,4,N,,,,
June,16,H,,6,O,,,,
June,16,H,,22,H,,,,
June,16,H,,25,H,,,,
June,16,H,,27,H,,,,
June,16,H,,28,H,,,,
June,16,H,,31,O,,,,
June,16,H,,34,H,,,,
June,16,H,,40,H,,,,
June,16,H,,83,H,,,,
June,16,H,,86,H,,,,
June,16,H,M,,H,,,,
June,16,H,M,,H,,,,
June,16,H,M,,H,,,,
June,16,H,M,,H,,,,
June,16,H,M,,O,,,,
June,16,H,F,,H,,,,
June,17,H,,1,N,,,,
June,17,H,,4,O,,,,
June,17,H,,27,N,1,,,
June,17,H,,29,O,1,,,
June,17,H,,34,N,,,,
June,17,H,,42,H,,,,
June,17,H,,82,N,,,,
June,17,H,,86,H,,,,
June,17,H,M,,H,,,,
June,17,H,M,,H,,,,
June,17,H,M,,H,,,,
June,17,H,F,,H,,,,
June,17,H,F,,H,,,,
June,17,H,U,,,,1,,
June,17,H,U,,,,1,,
June,17,H,M,,,,,,
June,17,H,M,,O,,,,
June,17,H,M,,O,,,,
June,18,H,,1,N,,,,
June,18,H,,4,N,,,,
June,18,H,,6,N,,,,
June,18,H,,34,N,,,,
June,18,H,,40,N,,,,
June,18,H,,25,H,,,,
June,18,H,,82,N,,,,
June,18,H,,83,N,,,,
June,18,H,,86,N,,,,
June,18,H,M,,N,,,,
June,18,H,M,,N,,,,
June,18,H,M,,N,,,,
June,18,H,M,,N,,,,
June,18,H,M,,N,,,,
June,18,H,M,,H,,,,
June,9,I,F,83,,1,,1,
June,9,I,F,,,,1,1,
June,9,I,F,,,,1,1,
June,9,I,M,,,,1,1,
June,9,I,F,1,O,,,,
June,9,I,F,2,I,,,,
June,9,I,F,3,I,,,,
June,9,I,F,5,I,,,,
June,9,I,F,6,I,,,,
June,9,I,F,7,N,,,,
June,9,I,F,8,I,,,,
June,9,I,F,9,I,,,,
June,9,I,F,11,I,,,,
June,9,I,F,12,I,,,,
June,9,I,F,13,I,,,,
June,9,I,F,14,I,,,,
June,9,I,F,15,I,,,,
June,9,I,F,29,I,,,,
June,9,I,F,48,I,,,,
June,9,I,F,50,I,,,,
June,9,I,F,49,I,,,,
June,9,I,F,52,I,,,,
June,9,I,F,53,I,,,,
June,9,I,F,54,I,,,,
June,9,I,F,55,I,,,,
June,9,I,F,56,I,,,,
June,9,I,F,57,I,,,,
June,9,I,F,58,I,,,,
June,9,I,F,61,I,,,,
June,9,I,F,62,I,,,,
June,9,I,F,64,I,,,,
June,9,I,F,65,I,,,,
June,9,I,F,67,I,,,,
June,9,I,F,68,I,,,,
June,9,I,F,70,I,,,,
June,9,I,F,71,I,,,,
June,9,I,F,72,I,,,,
June,9,I,F,73,I,,,,
June,9,I,F,74,I,,,,
June,9,I,F,75,I,,,,
June,9,I,F,76,I,,,,
June,9,I,F,77,I,,,,
June,9,I,F,78,I,,,,
June,9,I,F,80,I,,,,
June,9,I,F,81,I,,,,
June,9,I,F,82,I,,,,
June,9,I,F,83,I,,,,
June,9,I,F,84,I,,,,
June,9,I,F,85,I,,,,
June,9,I,F,87,I,,,,
June,9,I,F,88,I,,,,
June,9,I,F,89,I,,,,
June,9,I,F,90,I,,,,
June,9,I,F,91,I,,,,
June,10,I,U,,I,,,1,
June,10,I,U,,I,,,1,
June,10,I,U,,I,,,1,
June,10,I,M,,I,,1,1,
June,10,I,M,,I,,1,1,
June,10,I,F,,I,,1,1,
June,10,I,F,,I,,1,1,
June,10,I,,1,N,,,,
June,10,I,,3,I,,,,
June,10,I,,5,I,,,,
June,10,I,,7,I,,,,
June,10,I,,8,N,,,,
June,10,I,,9,I,,,,
June,10,I,,10,I,,,,
June,10,I,,11,I,,,,
June,10,I,,47,I,,,,
June,10,I,,48,N,,,,
June,10,I,,50,I,,,,
June,10,I,,51,I,,,,
June,10,I,,52,I,,,,
June,10,I,,53,I,,,,
June,10,I,,54,I,,,,
June,10,I,,55,I,,,,
June,10,I,,56,N,,,,
June,10,I,,57,I,,,,
June,10,I,,58,N,,,,
June,10,I,,59,I,,,,
June,10,I,,60,N,,,,
June,10,I,,62,I,,,,
June,10,I,,63,I,,,,
June,10,I,,65,I,,,,
June,10,I,,66,I,,,,
June,10,I,,67,I,,,,
June,10,I,,69,I,,,,
June,10,I,,70,I,,,,
June,10,I,,71,I,,,,
June,10,I,,72,N,,,,
June,10,I,,73,I,,,,
June,10,I,,74,I,,,,
June,10,I,,75,I,,,,
June,10,I,,76,I,,,,
June,10,I,,77,I,,,,
June,10,I,,78,I,,,,
June,10,I,,81,I,,,,
June,10,I,,82,I,,,,
June,10,I,,85,N,,,,
June,10,I,,86,I,,,,
June,10,I,,87,I,,,,
June,10,I,,88,I,,,,
June,10,I,,89,I,,,,
June,10,I,,91,N,,,,
June,10,I,F,,N,,,,
June,10,I,F,,N,,,,
June,10,I,F,,I,,,,
June,10,I,M,,I,,,,
June,11,I,F,43,I,1,,1,
June,11,I,F,,O,,,1,
June,11,I,,1,I,,,,
June,11,I,,2,I,1,,,
June,11,I,,7,I,,,,
June,11,I,,8,I,,,,
June,11,I,,10,I,,,,
June,11,I,,11,I,,,,
June,11,I,,15,I,,,,
June,11,I,,18,I,,,,
June,11,I,,47,I,,,,
June,11,I,,50,I,,,,
June,11,I,,51,N,,,,
June,11,I,,53,I,,,,
June,11,I,,54,I,,,,
June,11,I,,57,I,,,,
June,11,I,,59,I,,,,
June,11,I,,63,N,,,,
June,11,I,,65,I,,,,
June,11,I,,67,I,,,,
June,11,I,,68,N,,,,
June,11,I,,72,I,,,,
June,11,I,,73,I,,,,
June,11,I,,74,I,,,,
June,11,I,,75,I,,,,
June,11,I,,76,I,,,,
June,11,I,,78,I,,,,
June,11,I,,84,I,,,,
June,11,I,,85,I,,,,
June,11,I,,86,I,,,,
June,11,I,,88,I,,,,
June,11,I,,91,I,,,,
June,11,I,U,,I,,,,
June,11,I,U,,I,,,,
June,11,I,U,,I,,,,
June,11,I,U,,I,,,,
June,11,I,U,,I,,,,
June,12,I,,1,I,,,,
June,12,I,,2,I,,,,
June,12,I,,3,I,,,,
June,12,I,,5,I,,,,
June,12,I,,7,I,,,,
June,12,I,,8,I,,,,
June,12,I,,9,I,,,,
June,12,I,,15,I,,,,
June,12,I,,50,I,,,,
June,12,I,,52,I,,,,
June,12,I,,53,N,,,,
June,12,I,,54,N,,,,
June,12,I,,55,I,,,,
June,12,I,,59,I,,,,
June,12,I,,60,I,,,,
June,12,I,,62,I,,,,
June,12,I,,63,N,,,,
June,12,I,,65,I,,,,
June,12,I,,66,I,,,,
June,12,I,,67,I,,,,
June,12,I,,68,N,,,,
June,12,I,,70,I,,,,
June,12,I,,72,I,,,,
June,12,I,,73,I,,,,
June,12,I,,74,N,,,,
June,12,I,,76,I,,,,
June,12,I,,77,I,,,,
June,12,I,,81,I,,,,
June,12,I,,82,N,,,,
June,12,I,,84,I,,,,
June,12,I,,85,I,,,,
June,12,I,,86,I,,,,
June,12,I,,90,I,,,,
June,12,I,,91,I,,,,
June,12,I,F,,I,,,,
June,12,I,F,,I,,,,
June,12,I,F,,I,,,,
June,12,I,F,,I,,,,
June,12,I,M,,I,,,,
June,12,I,M,,I,,,,
June,12,I,M,,I,,,,
June,12,I,M,,I,,,,
June,12,I,U,,I,,,,
June,12,I,U,,I,,,,
June,13,I,,1,I,,,,
June,13,I,,3,I,,,,
June,13,I,,5,I,,,,
June,13,I,,7,I,,,,
June,13,I,,10,I,,,,
June,13,I,,15,I,,,,
June,13,I,,47,I,,,,
June,13,I,,48,N,,,,
June,13,I,,50,I,,,,
June,13,I,,52,I,,,,
June,13,I,,53,I,,,,
June,13,I,,54,I,,,,
June,13,I,,55,I,,,,
June,13,I,,57,I,,,,
June,13,I,,62,I,,,,
June,13,I,,63,I,,,,
June,13,I,,66,I,,,,
June,13,I,,67,N,,,,
June,13,I,,68,I,,,,
June,13,I,,70,I,,,,
June,13,I,,72,I,,,,
June,13,I,,73,I,,,,
June,13,I,,74,I,,,,
June,13,I,,75,I,,,,
June,13,I,,76,I,,,,
June,13,I,,78,I,,,,
June,13,I,,81,I,,,,
June,13,I,,82,I,,,,
June,13,I,,85,I,,,,
June,13,I,,86,N,,,,
June,13,I,,90,I,,,,
June,13,I,F,,I,,,,
June,13,I,F,,I,,,,
June,13,I,F,,I,,,,
June,13,I,F,,I,,,,
June,13,I,M,,N,,,,
June,13,I,M,,N,,,,
June,13,I,M,,N,,,,
June,13,I,M,,I,,,,
June,14,I,M,,,,1,,
June,14,I,M,,,,1,,
June,14,I,,1,I,,,,
June,14,I,,7,I,,,,
June,14,I,,8,I,,,,
June,14,I,,9,I,,,,
June,14,I,,10,I,,,,
June,14,I,,47,I,,,,
June,14,I,,48,I,,,,
June,14,I,,50,N,,,,
June,14,I,,54,I,,,,
June,14,I,,55,I,,,,
June,14,I,,57,I,,,,
June,14,I,,59,I,,,,
June,14,I,,60,I,,,,
June,14,I,,62,O,,,,
June,14,I,,63,I,,,,
June,14,I,,65,I,,,,
June,14,I,,66,I,,,,
June,14,I,,68,I,,,,
June,14,I,,74,I,,,,
June,14,I,,76,I,,,,
June,14,I,,77,I,,,,
June,14,I,,78,I,,,,
June,14,I,,81,I,,,,
June,14,I,,84,N,,,,
June,14,I,,86,I,,,,
June,14,I,,90,I,,,,
June,14,I,,91,I,,,,
June,14,I,F,,I,,,,
June,14,I,U,,I,,,,
June,14,I,U,,I,,,,
June,14,I,U,,I,,,,
June,14,I,U,,I,,,,
June,14,I,U,,I,,,,
June,15,I,,9,N,,,,
June,15,I,,10,I,,,,
June,15,I,,26,I,,,,
June,15,I,,29,I,,,,
June,15,I,,47,I,,,,
June,15,I,,48,I,,,,
June,15,I,,50,N,,,,
June,15,I,,52,N,,,,
June,15,I,,55,N,,,,
June,15,I,,56,N,,,,
June,15,I,,57,I,,,,
June,15,I,,59,O,,,,
June,15,I,,60,N,,,,
June,15,I,,62,I,,,,
June,15,I,,63,I,,,,
June,15,I,,65,N,,,,
June,15,I,,70,I,,,,
June,15,I,,74,I,,,,
June,15,I,,76,I,,,,
June,15,I,,77,N,,,,
June,15,I,,78,I,,,,
June,15,I,,81,N,,,,
June,15,I,,82,I,,,,
June,15,I,,84,N,,,,
June,15,I,,86,I,,,,
June,15,I,,90,I,,,,
June,15,I,M,,I,,,,
June,15,I,F,,I,,,,
June,15,I,F,,N,,,,
June,15,I,F,,N,,,,
June,15,I,F,,I,,,,
June,15,I,M,,I,,,,
June,16,I,,47,I,,,,
June,16,I,,48,N,,,,
June,16,I,,55,N,,,,
June,16,I,,60,I,,,,
June,16,I,,63,N,,,,
June,16,I,,65,I,,,,
June,16,I,,66,I,,,,
June,16,I,,70,I,,,,
June,16,I,,76,N,,,,
June,16,I,,78,N,,,,
June,16,I,,82,I ,,,,
June,16,I,,84,N,,,,
June,16,I,,86,I ,,,,
June,16,I,F,,I ,,,,
June,16,I,F,,I,,,,
June,16,I,F,,I ,,,,
June,16,I,F,,I,,,,
June,16,I,F,,I,,,,
June,16,I,M,,I,,,,
June,16,I,M,,I,,,,
June,16,I,M,,I,,,,
June,16,I,F,,,,1,,
June,17,I,,47,I,,,,
June,17,I,,54,I,1,,,
June,17,I,,55,I,,,,
June,17,I,,65,N,,,,
June,17,I,,66,I,,,,
June,17,I,,70,I,,,,
June,17,I,,77,I,,,,
June,17,I,,78,I,,,,
June,17,I,,84,I,,,,
June,17,I,,86,I,,,,
June,17,I,M,,I,,,,
June,17,I,F,,I,,,,
June,17,I,F,,I,,,,
June,17,I,F,,I,,,,
June,17,I,F,,I,,,,
June,17,I,F,,I,,,,
June,17,I,F,,O,,,,
June,18,I,,47,I,,,,
June,18,I,,48,I,,,,
June,18,I,,55,I,,,,
June,18,I,,60,N,,,,
June,18,I,,65,I,,,,
June,18,I,,70,I,,,,
June,18,I,,77,N,,,,
June,18,I,,84,I,,,,
June,18,I,,86,I,,,,
June,18,I,M,,N,,,,
June,18,I,M,,I,,,,
June,18,I,F,,N,,,,
June,18,I,F,,I,,,,
June,18,I,F,,I,,,,